Sr.no,RPM,Load(in Kg),Air(mm of water),Fuel flow(ml/min),Engine Water Flow(lph),Calorimeter Water Flow (lph),T1 (°C),T2 (°C),T3 (°C),T4 (°C),T5 (°C),T6 (°C),Comp. Ratio,Indicated Power(Ip) value(KW),,,Dynamometer length(in mm)
1,1556,2,90,10.6,300,65,27,34,27,36,175,157,18,1.8,,,185
2,1534,8,83,16.2,300,65,27,45,27,42,192,167,18,3.95,,,185
